title;author;genre;year;duration;favourite;explicit;newRelease
Volevo essere un duro;Lucio Corsi;Rock Italiano;2025;185;true;false;true
Cinque giorni;Michele Zarrillo;Pop Italiano;1994;247;true;false;false
Che fastidio!;Ditonellapiaga;Pop Italiano;2026;209;false;false;true
In The Closet;Micheal Jackson;Pop Internazionale;1991;215;true;false;false
Ashes To Ashes;David Bowie;Rock Internazionale;1980;215;true;false;false
Dracula;Tame Impala;Rock Internazionale;2026;234;false;false;true
Dangerous;Micheal Jackson;Pop Internazionale;1991;419;true;false;false
Dirty Diana;Micheal Jackson;Rock Internazionale;1987;292;true;true;false
Under Pressure;Queen feat David Bowie;Rock Internazionale;1981;248;true;false;false
Radio Ga Ga;Queen;Pop Internazionale;1984;344;true;false;false
Ziggy Stardust;David Bowie;Rock Internazionale;1972;193;true;false;false
Morirò da re;Maneskin;Rock Italiano;2018;186;false;true;false
GOSSIP;Maneskin;Rock Italiano;2023;164;false;true;true
Karma;The Kolors;Pop Italiano;2024;194;true;false;true
Disincanto;Madame;Pop Italiano;2026;210;false;true;true
La Bambola Cover;Madonna;Pop Internazionale;2026;180;false;false;true
La canzone del sole;Lucio Battisti;Pop;1971;210;false;false;false
Bohemian Rhapsody;Queen;Rock;1975;354;true;false;false
Shape of You;Ed Sheeran;Pop;2017;233;false;false;true
Smells Like Teen Spirit;Nirvana;Grunge;1991;301;true;true;false
Billie Jean;Michael Jackson;Pop;1982;294;true;false;false
Shape of my heart;Sting;Pop;1993;258;false;false;false
Demons;Imagine Dragons;Alternative Rock;2012;177;true;false;true
Master of puppets;Metallica;Metal;1986;515;false;true;false
Losing my religion;R.E.M.;Alternative Rock;1991;269;false;true;false